endpoint,mode,metric,sigma,beta,bnn,null,delta
ndcg,avg_all,top3_recovery,total,1.0,0.7222222222222222,0.7777777777777777,-0.05555555555555547
ndcg,avg_all,top3_recovery,epi_ale,0.0,0.49999999999999994,0.7777777777777777,-0.27777777777777773
ndcg,avg_all,top3_recovery,epi_only,0.0,0.6111111111111112,0.7777777777777777,-0.16666666666666652
ndcg,distance_weighted,top3_recovery,total,1.0,0.7222222222222222,0.7777777777777777,-0.05555555555555547
ndcg,distance_weighted,top3_recovery,epi_ale,0.0,0.49999999999999994,0.7777777777777777,-0.27777777777777773
ndcg,distance_weighted,top3_recovery,epi_only,1.0,0.5555555555555556,0.7777777777777777,-0.2222222222222221
ndcg,formaldehyde,top5_recovery,total,1.5,0.48,0.52,-0.040000000000000036
ndcg,formaldehyde,top5_recovery,epi_ale,0.0,0.44000000000000006,0.52,-0.07999999999999996
ndcg,formaldehyde,top5_recovery,epi_only,1.5,0.4,0.52,-0.12
ndcg,nearest,top5_recovery,total,0.5,0.43333333333333335,0.30000000000000004,0.1333333333333333
ndcg,nearest,top5_recovery,epi_ale,1.0,0.3666666666666667,0.30000000000000004,0.06666666666666665
ndcg,nearest,top5_recovery,epi_only,0.5,0.36666666666666664,0.30000000000000004,0.0666666666666666
ndcg,avg_all,top5_recovery,total,1.0,0.5333333333333333,0.6333333333333333,-0.09999999999999998
ndcg,avg_all,top5_recovery,epi_ale,0.0,0.5000000000000001,0.6333333333333333,-0.1333333333333332
ndcg,avg_all,top5_recovery,epi_only,0.0,0.5333333333333333,0.6333333333333333,-0.09999999999999998
ndcg,distance_weighted,top5_recovery,total,1.0,0.5333333333333333,0.6333333333333333,-0.09999999999999998
ndcg,distance_weighted,top5_recovery,epi_ale,0.0,0.5000000000000001,0.6333333333333333,-0.1333333333333332
ndcg,distance_weighted,top5_recovery,epi_only,1.0,0.5,0.6333333333333333,-0.1333333333333333
ndcg,formaldehyde,per_position_spearman_mean,total,1.5,0.5425268637126536,0.5540951483740868,-0.011568284661433226
ndcg,formaldehyde,per_position_spearman_mean,epi_ale,0.0,0.5221463763654999,0.5540951483740868,-0.03194877200858692
ndcg,formaldehyde,per_position_spearman_mean,epi_only,1.5,0.4788619748040722,0.5540951483740868,-0.07523317357001458
ndcg,nearest,per_position_spearman_mean,total,0.5,0.5663088713449446,0.7455772708173333,-0.1792683994723887
ndcg,nearest,per_position_spearman_mean,epi_ale,1.0,0.49874156299505,0.7455772708173333,-0.24683570782228326
ndcg,nearest,per_position_spearman_mean,epi_only,0.5,0.5007720828916632,0.7455772708173333,-0.24480518792567008
ndcg,avg_all,per_position_spearman_mean,total,1.0,0.5967765228847953,0.6674550547065513,-0.07067853182175599
ndcg,avg_all,per_position_spearman_mean,epi_ale,0.0,0.5661013679258932,0.6674550547065513,-0.10135368678065815
ndcg,avg_all,per_position_spearman_mean,epi_only,0.0,0.5928722250676858,0.6674550547065513,-0.07458282963886553
ndcg,distance_weighted,per_position_spearman_mean,total,1.0,0.5968573538590533,0.6666453820371024,-0.06978802817804919
ndcg,distance_weighted,per_position_spearman_mean,epi_ale,0.0,0.5685912954453775,0.6666453820371024,-0.09805408659172499
ndcg,distance_weighted,per_position_spearman_mean,epi_only,1.0,0.5955415777528013,0.6666453820371024,-0.07110380428430119
ndcg,formaldehyde,per_position_ndcg_mean,total,1.5,0.9295133830622921,0.9217857637776643,0.00772761928462784
ndcg,formaldehyde,per_position_ndcg_mean,epi_ale,0.0,0.9120556900642564,0.9217857637776643,-0.00973007371340795
ndcg,formaldehyde,per_position_ndcg_mean,epi_only,1.5,0.876370117137888,0.9217857637776643,-0.045415646639776264
ndcg,nearest,per_position_ndcg_mean,total,0.5,0.9446038274774238,0.7990898563105256,0.14551397116689813
ndcg,nearest,per_position_ndcg_mean,epi_ale,1.0,0.9208029696650525,0.7990898563105256,0.12171311335452684
ndcg,nearest,per_position_ndcg_mean,epi_only,0.5,0.8752515234276349,0.7990898563105256,0.07616166711710926
ndcg,avg_all,per_position_ndcg_mean,total,1.0,0.9634099796806392,0.9659171707845774,-0.0025071911039381556
ndcg,avg_all,per_position_ndcg_mean,epi_ale,0.0,0.9522699397335773,0.9659171707845774,-0.013647231051000075
ndcg,avg_all,per_position_ndcg_mean,epi_only,0.0,0.9592429939704927,0.9659171707845774,-0.006674176814084665
ndcg,distance_weighted,per_position_ndcg_mean,total,1.0,0.9635296872290519,0.9659725491825717,-0.002442861953519837
ndcg,distance_weighted,per_position_ndcg_mean,epi_ale,0.0,0.9567966602946655,0.9659725491825717,-0.009175888887906214
ndcg,distance_weighted,per_position_ndcg_mean,epi_only,1.0,0.9622261901686288,0.9659725491825717,-0.003746359013942935
ndcg,formaldehyde,per_position_top1_recovery,total,1.5,0.5,0.5,0.0
ndcg,formaldehyde,per_position_top1_recovery,epi_ale,0.0,0.5199999999999999,0.5,0.019999999999999907
ndcg,formaldehyde,per_position_top1_recovery,epi_only,1.5,0.4,0.5,-0.09999999999999998
ndcg,nearest,per_position_top1_recovery,total,0.5,0.4333333333333333,0.6166666666666667,-0.1833333333333334
ndcg,nearest,per_position_top1_recovery,epi_ale,1.0,0.4166666666666667,0.6166666666666667,-0.2
ndcg,nearest,per_position_top1_recovery,epi_only,0.5,0.30000000000000004,0.6166666666666667,-0.31666666666666665
ndcg,avg_all,per_position_top1_recovery,total,1.0,0.5333333333333332,0.6833333333333335,-0.15000000000000024
ndcg,avg_all,per_position_top1_recovery,epi_ale,0.0,0.5666666666666665,0.6833333333333335,-0.11666666666666692
ndcg,avg_all,per_position_top1_recovery,epi_only,0.0,0.5333333333333333,0.6833333333333335,-0.15000000000000013
ndcg,distance_weighted,per_position_top1_recovery,total,1.0,0.5333333333333333,0.6833333333333335,-0.15000000000000013
ndcg,distance_weighted,per_position_top1_recovery,epi_ale,0.0,0.5666666666666665,0.6833333333333335,-0.11666666666666692
ndcg,distance_weighted,per_position_top1_recovery,epi_only,1.0,0.4666666666666666,0.6833333333333335,-0.21666666666666684
ndcg,formaldehyde,per_position_top3_recovery_mean,total,1.5,0.48,0.4999999999999999,-0.019999999999999907
ndcg,formaldehyde,per_position_top3_recovery_mean,epi_ale,0.0,0.4733333333333333,0.4999999999999999,-0.026666666666666616
ndcg,formaldehyde,per_position_top3_recovery_mean,epi_only,1.5,0.4466666666666666,0.4999999999999999,-0.05333333333333329
ndcg,nearest,per_position_top3_recovery_mean,total,0.5,0.5277777777777778,0.6499999999999999,-0.12222222222222212
ndcg,nearest,per_position_top3_recovery_mean,epi_ale,1.0,0.4777777777777777,0.6499999999999999,-0.17222222222222222
ndcg,nearest,per_position_top3_recovery_mean,epi_only,0.5,0.5111111111111111,0.6499999999999999,-0.13888888888888884
ndcg,avg_all,per_position_top3_recovery_mean,total,1.0,0.5611111111111111,0.6,-0.03888888888888886
ndcg,avg_all,per_position_top3_recovery_mean,epi_ale,0.0,0.5277777777777778,0.6,-0.07222222222222219
ndcg,avg_all,per_position_top3_recovery_mean,epi_only,0.0,0.5555555555555555,0.6,-0.04444444444444451
ndcg,distance_weighted,per_position_top3_recovery_mean,total,1.0,0.5611111111111111,0.5944444444444444,-0.033333333333333326
ndcg,distance_weighted,per_position_top3_recovery_mean,epi_ale,0.0,0.5444444444444444,0.5944444444444444,-0.050000000000000044
ndcg,distance_weighted,per_position_top3_recovery_mean,epi_only,1.0,0.5777777777777777,0.5944444444444444,-0.01666666666666672
ndcg,formaldehyde,per_position_top5_recovery_mean,total,1.5,0.484,0.524,-0.040000000000000036
ndcg,formaldehyde,per_position_top5_recovery_mean,epi_ale,0.0,0.5,0.524,-0.02400000000000002
ndcg,formaldehyde,per_position_top5_recovery_mean,epi_only,1.5,0.4960000000000001,0.524,-0.027999999999999914
ndcg,nearest,per_position_top5_recovery_mean,total,0.5,0.5233333333333333,0.7133333333333334,-0.19000000000000006
